batch,N,q,positive,value
3,1000000,0.996,True,10.359886866318131
3,1000000,0.997,True,12.246414374018872
3,1000000,0.998,True,15.976804242667534
4,1000,0.95,False,-1.0292337376485816
4,1000,0.97,False,-0.5628986707582979
4,1000,0.99,False,0.1491137174785613
4,1000,0.995,False,0.5792331630432861
4,1000,0.95,True,2.843625079911033
4,1000,0.96,True,2.9165906943519584
4,1000,0.965,True,2.9530735015724217
4,1000,0.97,True,2.989556308792884
4,1000,0.975,True,3.026039116013346
4,1000,0.98,True,3.062521923233809
4,1000,0.985,True,3.0990047304542716
4,1000,0.99,True,3.1354875376747335
4,1000,0.995,True,3.1719703448951964
4,1000,0.996,True,3.179266906339289
4,1000,0.997,True,3.186563467783382
4,1000,0.998,True,3.1938600292274737
4,10000,0.95,False,-1.066800258981162
4,10000,0.97,False,-0.6866101306962559
4,10000,0.99,False,0.1348304858347513
4,10000,0.995,False,0.773481103212769
4,10000,0.95,True,2.972757203993141
4,10000,0.96,True,3.1573632045482753
4,10000,0.965,True,3.7189873044598056
4,10000,0.97,True,4.054205195428032
4,10000,0.975,True,4.245624548283627
4,10000,0.98,True,4.685838363627594
4,10000,0.985,True,5.282765755312774
4,10000,0.99,True,6.211129170675383
4,10000,0.995,True,8.099347212715433
4,10000,0.996,True,8.579051313073993
4,10000,0.997,True,9.058755413432495
4,10000,0.998,True,9.538459513790999
4,100000,0.95,False,-1.0688715370605903
4,100000,0.97,False,-0.7053686404521443
4,100000,0.99,False,0.12461465849698358
4,100000,0.995,False,0.7111065995685423
4,100000,0.95,True,3.1420917402761193
4,100000,0.96,True,3.394194275208365
4,100000,0.965,True,3.5552455901853754
4,100000,0.97,True,3.9082536160961006
4,100000,0.975,True,4.209103115157989
4,100000,0.98,True,4.557270145677913
4,100000,0.985,True,5.135357308391892
4,100000,0.99,True,6.468371365297896
4,100000,0.995,True,10.22930501033349
4,100000,0.996,True,11.493258403133494
4,100000,0.997,True,11.814930476737818
4,100000,0.998,True,11.88984317637354
4,1000000,0.95,False,-1.0807149139969112
4,1000000,0.97,False,-0.7012409092558151
4,1000000,0.99,False,0.12696275585215808
4,1000000,0.995,False,0.6820276738510308
4,1000000,0.95,True,2.9117000860552253
4,1000000,0.96,True,3.2546271892601197
4,1000000,0.965,True,3.446551033689396
